Indicator,SpatialDimValueCode,Location,Period,Value,DateModified
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2018,7616.04,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2018,82.53,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2018,8271.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2018,9577.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2018,978.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2017,1078.17,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2017,1189.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2017,1350.13,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2017,1509.78,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2017,1516.75,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2017,167.02,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2017,1773.41,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2017,183.7,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2017,1925.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2017,1998.06,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2017,243.95,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2017,2525.14,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2017,2551.72,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2017,272.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2017,2809.72,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2017,2876.18,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2017,295.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2017,302.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2017,3074.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2017,331.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2017,3672.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2017,375.33,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2017,3907.82,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2017,409.8,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2017,410.81,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2017,4235.75,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2017,432.14,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2017,4416.79,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2017,471.33,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2017,4783.81,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2017,4934.58,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2017,4938.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2017,5010.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2017,5065.43,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2017,515.85,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2017,555.11,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2017,56.85,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2017,5713.12,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2017,577.07,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2017,5834.02,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2017,5837.77,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2017,5992.05,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2017,623.69,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2017,624.55,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2017,7098.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2017,76.6,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2017,7815.79,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2017,902.63,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2017,909.58,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2017,93.42,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2017,932.5,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2017,9423.65,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2017,985.07,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2016,1175.63,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2016,1226.09,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2016,129.82,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2016,1374.9,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2016,1513.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2016,154.55,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2016,1649.41,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2016,169.7,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2016,171.18,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2016,1838.65,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2016,1875.24,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2016,2321.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2016,2377.05,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2016,255.84,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2016,2699.73,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2016,275.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2016,2769.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2016,2783.82,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2016,296.95,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2016,319.31,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2016,347.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2016,359.58,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2016,3621.23,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2016,376.66,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2016,4016.64,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2016,4108.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2016,4264.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2016,450.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2016,4542.66,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2016,456.37,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2016,463.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2016,4644.02,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2016,4709.88,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2016,4726.31,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2016,4746.78,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2016,476.25,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2016,486.43,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2016,5053.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2016,54.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2016,5475.14,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2016,562.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2016,5624.33,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2016,5680.73,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2016,604.89,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2016,71.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2016,7149.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2016,7492.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2016,816.09,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2016,840.9,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2016,874.8,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2016,914.19,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2016,9276.5,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2016,988.53,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2015,1108.88,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2015,1156.2,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2015,1308.8,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2015,132.61,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2015,1481.42,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2015,154.75,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2015,1596.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2015,1775.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2015,1790.53,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2015,186.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2015,2243.47,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2015,2349.55,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2015,236.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2015,253.93,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2015,2645.79,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2015,2672.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2015,2675.67,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2015,292.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2015,310.01,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2015,322.25,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2015,3530.05,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2015,360.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2015,362.73,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2015,365.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2015,4128.21,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2015,4198.73,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2015,430.83,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2015,4303.84,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2015,442.24,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2015,444.71,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2015,4440.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2015,4442.13,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2015,4575.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2015,4612.82,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2015,4627.28,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2015,4676.56,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2015,491.25,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2015,496.95,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2015,521.42,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2015,5421.93,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2015,5531.88,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2015,5598.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2015,582.19,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2015,62.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2015,7348.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2015,7566.56,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2015,775.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2015,79.55,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2015,795.51,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2015,803.96,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2015,870.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2015,920.2,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2015,9272.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HUN,Hungary,2014,1006.16,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LTU,Lithuania,2014,1021.23,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2014,118.44,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2014,1287.76,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2014,1289.35,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2014,1512.59,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2014,1700.49,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2014,1873.89,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2014,2059.93,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2014,2062.38,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2014,208.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2014,230.77,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2014,2456.43,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2014,2680.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2014,280.22,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2014,2804.23,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2014,293.13,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2014,3001.2,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2014,3154.28,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2014,357.64,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2014,367.32,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2014,369.69,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2014,393.87,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2014,404.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2014,4120.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2014,448.27,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2014,4522.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2014,4716.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2014,4922.43,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2014,493.07,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2014,4974.75,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2014,503.35,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2014,5079.83,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2014,520.41,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2014,5309.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2014,5316.27,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2014,5393.6,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2014,5601.89,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2014,581.4,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2014,605.26,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2014,608.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2014,6466.9,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2014,6547.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2014,6605.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TJK,Tajikistan,2014,73.07,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,RUS,Russian Federation,2014,736.32,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LVA,Latvia,2014,856.77,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MCO,Monaco,2014,8678.04,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,HRV,Croatia,2014,909.37,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,POL,Poland,2014,911.3,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NOR,Norway,2014,9116.38,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2014,93.16,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CHE,Switzerland,2014,9550.46,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KGZ,Kyrgyzstan,2013,103.59,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,EST,Estonia,2013,1194.86,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVK,Slovakia,2013,1370.47,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UZB,Uzbekistan,2013,140.71,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CZE,Czechia,2013,1508.8,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GRC,Greece,2013,1832.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,CYP,Cyprus,2013,1916.32,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,PRT,Portugal,2013,2030.63,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SVN,Slovenia,2013,2055.38,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MLT,Malta,2013,2121.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MDA,Republic of Moldova,2013,231.66,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AZE,Azerbaijan,2013,251.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ESP,Spain,2013,2630.02,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISR,Israel,2013,2673.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,UKR,Ukraine,2013,275.94,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ALB,Albania,2013,276.08,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AND,Andorra,2013,2887.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ITA,Italy,2013,3149.24,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TKM,Turkmenistan,2013,339.92,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GEO,Georgia,2013,355.74,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,KAZ,Kazakhstan,2013,358.91,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MKD,North Macedonia,2013,361.13,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ARM,Armenia,2013,392.85,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ISL,Iceland,2013,4095.68,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SMR,San Marino,2013,4113.47,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,GBR,United Kingdom of Great Britain and Northern Ireland,2013,4348.29,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BLR,Belarus,2013,454.52,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BIH,Bosnia and Herzegovina,2013,475.07,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FRA,France,2013,4884.72,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,FIN,Finland,2013,4892.03,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,ROU,Romania,2013,495.24,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BEL,Belgium,2013,4953.98,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DEU,Germany,2013,5100.15,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,AUT,Austria,2013,5235.34,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,IRL,Ireland,2013,5313.71,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,BGR,Bulgaria,2013,547.45,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,TUR,Türkiye,2013,547.95,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,NLD,Netherlands (Kingdom of the),2013,5532.73,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,MNE,Montenegro,2013,597.18,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SRB,Serbia,2013,627.53,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,DNK,Denmark,2013,6334.42,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,LUX,Luxembourg,2013,6356.64,2024-12-10T00:00:00.000Z
Current health expenditure (CHE) per capita in US$,SWE,Sweden,2013,6696.87,2024-12-10T00:00:00.000Z
