variable code,variable name
hc22_ext_usd_pc,"External Expenditure on Day rehabilitative care, in current US$ per capita"
hc23_ext_usd_pc,"External Expenditure on Outpatient rehabilitative care, in current US$ per capita"
hc24_ext_usd_pc,"External Expenditure on Home-based rehabilitative care, in current US$ per capita"
hc3_ext_usd_pc,"External Expenditure on Long-term care (health), in current US$ per capita"
hc31_ext_usd_pc,"External Expenditure on Inpatient long-term care (health), in current US$ per capita"
hc32_ext_usd_pc,"External Expenditure on Day long-term care (health), in current US$ per capita"
hc33_ext_usd_pc,"External Expenditure on Outpatient long-term care (health), in current US$ per capita"
hc34_ext_usd_pc,"External Expenditure on Home-based long-term care (health), in current US$ per capita"
hc3nec_ext_usd_pc,"External Expenditure on Other Long-Term Care, in current US$ per capita"
hc4_ext_usd_pc,"External Expenditure on Ancillary services (non-specified by function), in current US$ per capita"
hc41_ext_usd_pc,"External Expenditure on Laboratory services, in current US$ per capita"
hc42_ext_usd_pc,"External Expenditure on Imaging services, in current US$ per capita"
hc43_ext_usd_pc,"External Expenditure on Patient transportation, in current US$ per capita"
hc5_ext_usd_pc,"External Expenditure on Medical goods (non-specified by function), in current US$ per capita"
hc51_ext_usd_pc,"External Expenditure on Pharmaceuticals and Other medical durable goods, in current US$ per capita"
hc511_ext_usd_pc,"External Expenditure on Prescribed medicines, in current US$ per capita"
hc512_ext_usd_pc,"External Expenditure on Over-the-counter medicines, in current US$ per capita"
hc513_ext_usd_pc,"External Expenditure on Other medical non-durable goods, in current US$ per capita"
hc52_ext_usd_pc,"External Expenditure on Therapeutic appliances and Other medical goods, in current US$ per capita"
hc5nec_ext_usd_pc,"External Expenditure on Unspecified medical goods (n.e.c.), in current US$ per capita"
hc6_ext_usd_pc,"External Expenditure on Preventive care, in current US$ per capita"
hc61_ext_usd_pc,"External Expenditure on Information, education and counseling (IEC) programmes, in current US$ per capita"
hc62_ext_usd_pc,"External sources of funding on Immunization Programmes , in current US$ per capita"
fp3214_ext_usd_pc,"External sources of funding on Vaccines, in current US$ per capita"
hc63_ext_usd_pc,"External Expenditure on Early disease detection programmes, in current US$ per capita"
hc64_ext_usd_pc,"External Expenditure on Healthy condition monitoring programmes, in current US$ per capita"
hc65_ext_usd_pc,"External Expenditure on Epidemiological surveillance and risk and disease control programmes, in current US$ per capita"
hc66_ext_usd_pc,"External Expenditure on Preparing for disaster and emergency response programmes, in current US$ per capita"
hc6nec_ext_usd_pc,"External Expenditure on Unspecified preventive care (n.e.c.), in current US$ per capita"
hc7_ext_usd_pc,"External Expenditure on Governance, health system & financing administration, in current US$ per capita"
hc71_ext_usd_pc,"External Expenditure on Governance and Health system administration, in current US$ per capita"
hc72_ext_usd_pc,"External Expenditure on Administration of health financing, in current US$ per capita"
hc7nec_ext_usd_pc,"External Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in current US$ per capita"
hc9_ext_usd_pc,"External Expenditure on Other health care services (n.e.c.), in current US$ per capita"
hc_pvtd_usd_pc,"Domestic Private Health Expenditure by Health Care Functions, in current US$ per capita"
hc1_pvtd_usd_pc,"Domestic Private Expenditure on Curative care, in current US$ per capita"
hc11_pvtd_usd_pc,"Domestic Private Expenditure on Inpatient curative care, in current US$ per capita"
hc12_pvtd_usd_pc,"Domestic Private Expenditure on Day curative care, in current US$ per capita"
hc13_pvtd_usd_pc,"Domestic Private Expenditure on Outpatient curative care, in current US$ per capita"
hc131_pvtd_usd_pc,"Domestic Private Expenditure on General outpatient curative care, in current US$ per capita"
hc132_pvtd_usd_pc,"Domestic Private Expenditure on Dental outpatient curative care, in current US$ per capita"
hc133_pvtd_usd_pc,"Domestic Private Expenditure on Specialised outpatient curative care, in current US$ per capita"
hc139_pvtd_usd_pc,"Domestic Private Expenditure on all other outpatient curative care, in current US$ per capita"
hc13nec_pvtd_usd_pc,"Domestic Private Expenditure on Outpatient curative care n.e.c., in current US$ per capita"
hc14_pvtd_usd_pc,"Domestic Private Expenditure on Home-based curative care, in current US$ per capita"
hc1nec_pvtd_usd_pc,"Domestic Private Expenditure on Other curative care, in current US$ per capita"
hc2_pvtd_usd_pc,"Domestic Private Expenditure on Rehabilitative care, in current US$ per capita"
hc21_pvtd_usd_pc,"Domestic Private Expenditure on Inpatient rehabilitative care, in current US$ per capita"
hc22_pvtd_usd_pc,"Domestic Private Expenditure on Day rehabilitative care, in current US$ per capita"
hc23_pvtd_usd_pc,"Domestic Private Expenditure on Outpatient rehabilitative care, in current US$ per capita"
hc24_pvtd_usd_pc,"Domestic Private Expenditure on Home-based rehabilitative care, in current US$ per capita"
hc3_pvtd_usd_pc,"Domestic Private Expenditure on Long-term care (health), in current US$ per capita"
hc31_pvtd_usd_pc,"Domestic Private Expenditure on Inpatient long-term care (health), in current US$ per capita"
hc32_pvtd_usd_pc,"Domestic Private Expenditure on Day long-term care (health), in current US$ per capita"
hc33_pvtd_usd_pc,"Domestic Private Expenditure on Outpatient long-term care (health), in current US$ per capita"
hc34_pvtd_usd_pc,"Domestic Private Expenditure on Home-based long-term care (health), in current US$ per capita"
hc3nec_pvtd_usd_pc,"Domestic Private Expenditure on Other Long-Term Care, in current US$ per capita"
hc4_pvtd_usd_pc,"Domestic Private Expenditure on Ancillary services (non-specified by function), in current US$ per capita"
hc41_pvtd_usd_pc,"Domestic Private Expenditure on Laboratory services, in current US$ per capita"
hc42_pvtd_usd_pc,"Domestic Private Expenditure on Imaging services, in current US$ per capita"
hc43_pvtd_usd_pc,"Domestic Private Expenditure on Patient transportation, in current US$ per capita"
hc5_pvtd_usd_pc,"Domestic Private Expenditure on Medical goods (non-specified by function), in current US$ per capita"
hc51_pvtd_usd_pc,"Domestic Private Expenditure on Pharmaceuticals and Other medical durable goods, in current US$ per capita"
hc511_pvtd_usd_pc,"Domestic Private Expenditure on Prescribed medicines, in current US$ per capita"
hc512_pvtd_usd_pc,"Domestic Private Expenditure on Over-the-counter medicines, in current US$ per capita"
hc513_pvtd_usd_pc,"Domestic Private Expenditure on Other medical non-durable goods, in current US$ per capita"
hc52_pvtd_usd_pc,"Domestic Private Expenditure on Therapeutic appliances and Other medical goods, in current US$ per capita"
hc5nec_pvtd_usd_pc,"Domestic Private Expenditure on Unspecified medical goods (n.e.c.), in current US$ per capita"
hc6_pvtd_usd_pc,"Domestic Private Expenditure on Preventive care, in current US$ per capita"
hc61_pvtd_usd_pc,"Domestic Private Expenditure on Information, education and counseling (IEC) programmes, in current US$ per capita"
hc62_pvtd_usd_pc,"Domestic Private Expenditure on Immunization Programmes, in current US$ per capita"
fp3214_pvtd_usd_pc,"Domestic Private Expenditure on Vaccines, in current US$ per capita"
hc63_pvtd_usd_pc,"Domestic Private Expenditure on Early disease detection programmes, in current US$ per capita"
hc64_pvtd_usd_pc,"Domestic Private Expenditure on Healthy condition monitoring programmes, in current US$ per capita"
hc65_pvtd_usd_pc,"Domestic Private Expenditure on Epidemiological surveillance and risk and disease control programmes, in current US$ per capita"
hc66_pvtd_usd_pc,"Domestic Private Expenditure on Preparing for disaster and emergency response programmes, in current US$ per capita"
hc6nec_pvtd_usd_pc,"Domestic Private Expenditure on Unspecified preventive care (n.e.c.), in current US$ per capita"
hc7_pvtd_usd_pc,"Domestic Private Expenditure on Governance, health system & financing administration, in current US$ per capita"
hc71_pvtd_usd_pc,"Domestic Private Expenditure on Governance and Health system administration, in current US$ per capita"
hc72_pvtd_usd_pc,"Domestic Private Expenditure on Administration of health financing, in current US$ per capita"
hc7nec_pvtd_usd_pc,"Domestic Private Expenditure on Unspecified governance, and health system and financing administration (n.e.c.), in current US$ per capita"
hc9_pvtd_usd_pc,"Domestic Private Expenditure on Other health care services (n.e.c.), in current US$ per capita"
hcri1_usd_pc,"Total pharmaceutical expenditure (TPE), in current US$ per capita"
dis_usd_pc,"Current health expenditure by Diseases and Conditions, in current US$ per capita"
dis1_usd_pc,"Infectious and Parasitic Diseases, in current US$ per capita"
dis11_usd_pc,"HIV/AIDS and Other Sexually Transmitted Diseases (STDs), in current US$ per capita"
dis12_usd_pc,"Tuberculosis (TB), in current US$ per capita"
dis13_usd_pc,"Malaria, in current US$ per capita"
dis16_usd_pc,"Neglected Tropical Diseases (NTDs), in current US$ per capita"
dis192_usd_pc,"Disease from coronavirus SARS-CoV-2 (COVID-19), in current US$ per capita"
dis2_usd_pc,"Reproductive Health, in current US$ per capita"
dis21_usd_pc,"Maternal Conditions, in current US$ per capita"
dis22_usd_pc,"Perinatal Conditions, in current US$ per capita"
dis23_usd_pc,"Contraceptive Management (Family Planning), in current US$ per capita"
dis2nec_usd_pc,"Unspecified reproductive health conditions (n.e.c.), in current US$ per capita"
dis3_usd_pc,"Nutritional Deficiencies, in current US$ per capita"
dis4_usd_pc,"Noncommunicable Diseases (NCDs), in current US$ per capita"
dis5_usd_pc,"Injuries, in current US$ per capita"
disnec_usd_pc,"Other and unspecified Diseases and Conditions (n.e.c.), in current US$ per capita"
dis_gghed_usd_pc,"Domestic general government health expenditure by Diseases and Conditions, in current US$ per capita"
dis1_gghed_usd_pc,"Domestic General Government Expenditure on Infectious and Parasitic Diseases, in current US$ per capita"
dis11_gghed_usd_pc,"Domestic General Government Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs), in current US$ per capita"
dis12_gghed_usd_pc,"Domestic General Government Expenditure on Tuberculosis (TB), in current US$ per capita"
dis13_gghed_usd_pc,"Domestic General Government Expenditure on Malaria, in current US$ per capita"
dis16_gghed_usd_pc,"Domestic General Government Expenditure on Neglected Tropical Diseases (NTDs), in current US$ per capita"
dis192_gghed_usd_pc,"Domestic General Government Expenditure on Disease from coronavirus SARS-CoV-2 (COVID-19), in current US$ per capita"
dis2_gghed_usd_pc,"Domestic General Government Expenditure on Reproductive Health, in current US$ per capita"
dis21_gghed_usd_pc,"Domestic General Government Expenditure on Maternal Conditions, in current US$ per capita"
dis22_gghed_usd_pc,"Domestic General Government Expenditure on Perinatal Conditions, in current US$ per capita"
dis23_gghed_usd_pc,"Domestic General Government Expenditure on Contraceptive Management (Family Planning), in current US$ per capita"
dis2nec_gghed_usd_pc,"Domestic General Government Expenditure on Unspecified reproductive health conditions (n.e.c.), in current US$ per capita"
dis3_gghed_usd_pc,"Domestic General Government Expenditure on Nutritional Deficiencies, in current US$ per capita"
dis4_gghed_usd_pc,"Domestic General Government Expenditure on Noncommunicable Diseases (NCDs), in current US$ per capita"
dis5_gghed_usd_pc,"Domestic General Government Expenditure on Injuries, in current US$ per capita"
disnec_gghed_usd_pc,"Domestic General Government Expenditure on other and unspecified Diseases and Conditions (n.e.c.), in current US$ per capita"
dis_ext_usd_pc,"External sources of funding by Diseases and Conditions, in current US$ per capita"
dis1_ext_usd_pc,"External sources of funding on Infectious and Parasitic Diseases, in current US$ per capita"
dis11_ext_usd_pc,"External sources of funding on HIV/AIDS and Sexually Transmitted Diseases (STDs), in current US$ per capita"
dis12_ext_usd_pc,"External sources of funding on Tuberculosis (TB), in current US$ per capita"
dis13_ext_usd_pc,"External sources of funding on Malaria, in current US$ per capita"
dis16_ext_usd_pc,"External sources of funding on Neglected Tropical Diseases (NTDs), in current US$ per capita"
dis192_ext_usd_pc,"External sources of funding on Disease from coronavirus SARS-CoV-2 (COVID-19), in current US$ per capita"
dis2_ext_usd_pc,"External sources of funding on Reproductive Health, in current US$ per capita"
dis21_ext_usd_pc,"External sources of funding on Maternal Conditions, in current US$ per capita"
dis22_ext_usd_pc,"External sources of funding on Perinatal Conditions, in current US$ per capita"
dis23_ext_usd_pc,"External sources of funding on Contraceptive Management (Family Planning), in current US$ per capita"
dis2nec_ext_usd_pc,"External sources of funding on Unspecified reproductive health conditions (n.e.c.), in current US$ per capita"
dis3_ext_usd_pc,"External sources of funding on Nutritional Deficiencies, in current US$ per capita"
dis4_ext_usd_pc,"External sources of funding on Noncommunicable Diseases (NCDs), in current US$ per capita"
dis5_ext_usd_pc,"External sources of funding on Injuries, in current US$ per capita"
disnec_ext_usd_pc,"External sources of funding on other and unspecified Diseases and Conditions (n.e.c.), in current US$ per capita"
dis_pvtd_usd_pc,"Domestic Private Health expenditure by Diseases and Conditions, in current US$ per capita"
dis1_pvtd_usd_pc,"Domestic Private Expenditure on Infectious and Parasitic Diseases, in current US$ per capita"
dis11_pvtd_usd_pc,"Domestic Private Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs), in current US$ per capita"
dis12_pvtd_usd_pc,"Domestic Private Expenditure on Tuberculosis (TB), in current US$ per capita"
dis13_pvtd_usd_pc,"Domestic Private Expenditure on Malaria, in current US$ per capita"
dis16_pvtd_usd_pc,"Domestic Private Expenditure on Neglected Tropical Diseases (NTDs), in current US$ per capita"
dis192_pvtd_usd_pc,"Domestic Private Expenditure on Disease from coronavirus SARS-CoV-2 (COVID-19), in current US$ per capita"
dis2_pvtd_usd_pc,"Domestic Private Expenditure on Reproductive Health, in current US$ per capita"
dis21_pvtd_usd_pc,"Domestic Private Expenditure on Maternal Conditions, in current US$ per capita"
dis22_pvtd_usd_pc,"Domestic Private Expenditure on Perinatal Conditions, in current US$ per capita"
dis23_pvtd_usd_pc,"Domestic Private Expenditure on Contraceptive Management (Family Planning), in current US$ per capita"
dis2nec_pvtd_usd_pc,"Domestic Private Expenditure on Unspecified reproductive health conditions (n.e.c.), in current US$ per capita"
dis3_pvtd_usd_pc,"Domestic Private Expenditure on Nutritional Deficiencies, in current US$ per capita"
dis4_pvtd_usd_pc,"Domestic Private Expenditure on Noncommunicable Diseases (NCDs), in current US$ per capita"
dis5_pvtd_usd_pc,"Domestic Private Expenditure on Injuries, in current US$ per capita"
disnec_pvtd_usd_pc,"Domestic Private Expenditure on other and unspecified diseases/conditions (n.e.c.), in current US$ per capita"
hccov1_usd_pc,"COVID-19 related treatment, in current US$ per capita"
hccov2_usd_pc,"COVID-19 testing and contract tracing, in current US$ per capita"
hccov3_usd_pc,"COVID-19 vaccination, in current US$ per capita"
hccov4_usd_pc,"COVID-19 medical goods, in current US$ per capita"
hccov5_usd_pc,"Other COVID-19 health care spending (incl. in CHE), in current US$ per capita"
hccov_gghed_usd_pc,"Domestic General Government Expenditure on special reporting items to track COVID-19 spending within CHE, in current US$ per capita"
hccov_ext_usd_pc,"External sources of funding on special reporting items to track COVID-19 spending within CHE, in current US$ per capita"
hccov_pvtd_usd_pc,"Domestic Private Expenditure on special reporting items to track COVID-19 spending within CHE, in current US$ per capita"
age1_usd_pc,"Less than five-year-old population (< 5-y), in current US$ per capita"
age1_gghed_usd_pc,"Domestic General Government Health Expenditure in the less than five-year-old population (< 5-y), in current US$ per capita"
age1_ext_usd_pc,"External sources of funding in the less than five-year-old population (< 5-y), in current US$ per capita"
age1_pvtd_usd_pc,"Domestic Private Expenditure in the less than five-year-old population (< 5-y), in current US$ per capita"
hp_usd_pc,"Current health expenditure by health care providers, in current US$ per capita"
hp1_usd_pc,"Hospitals, in current US$ per capita"
hp11_usd_pc,"General hospitals, in current US$ per capita"
hp12_usd_pc,"Mental health hospitals, in current US$ per capita"
hp13_usd_pc,"Specialised hospitals (Other than mental health hospitals), in current US$ per capita"
hp1nec_usd_pc,"Unspecified hospitals (n.e.c.), in current US$ per capita"
hp2_usd_pc,"Residential long-term care facilities, in current US$ per capita"
hp21_usd_pc,"Long-term nursing care facilities, in current US$ per capita"
hp22_usd_pc,"Mental health and substance abuse facilities, in current US$ per capita"
hp29_usd_pc,"Other residential long-term care facilities, in current US$ per capita"
hp3_usd_pc,"Providers of ambulatory health care, in current US$ per capita"
hp31_usd_pc,"Medical practices, in current US$ per capita"
hp32_usd_pc,"Dental practice, in current US$ per capita"
hp33_usd_pc,"Other health care practitioners, in current US$ per capita"
hp34_usd_pc,"Ambulatory health care centres, in current US$ per capita"
hp35_usd_pc,"Providers of home health care services, in current US$ per capita"
hp3nec_usd_pc,"Unspecified providers of ambulatory health care (n.e.c.), in current US$ per capita"
hp4_usd_pc,"Providers of ancillary services, in current US$ per capita"
hp41_usd_pc,"Providers of patient transportation and emergency rescue, in current US$ per capita"
hp42_usd_pc,"Medical and diagnostic laboratories, in current US$ per capita"
hp49_usd_pc,"Other providers of ancillary services, in current US$ per capita"
hp5_usd_pc,"Retailers and Other providers of medical goods, in current US$ per capita"
hp51_usd_pc,"Pharmacies, in current US$ per capita"
hp52_usd_pc,"Retail sellers and Other suppliers of durable medical goods and medical appliances, in current US$ per capita"
hp59_usd_pc,"All Other miscellaneous sellers and Other suppliers of pharmaceuticals and medical goods, in current US$ per capita"
hp6_usd_pc,"Providers of preventive care, in current US$ per capita"
hp7_usd_pc,"Providers of health care system administration and financing, in current US$ per capita"
hp71_usd_pc,"Government health administration agencies, in current US$ per capita"
hp72_usd_pc,"Social health insurance agencies, in current US$ per capita"
hp73_usd_pc,"Private health insurance administration agencies, in current US$ per capita"
hp79_usd_pc,"Other administration agencies, in current US$ per capita"
hp8_usd_pc,"Rest of economy, in current US$ per capita"
hp81_usd_pc,"Households as providers of home health care, in current US$ per capita"
hp82_usd_pc,"All Other industries as secondary providers of health care, in current US$ per capita"
hp83_usd_pc,"Community health workers (or village health worker, community health aide, etc.), in current US$ per capita"
hp9_usd_pc,"Rest of the world, in current US$ per capita"
hpnec_usd_pc,"Unspecified health care providers (n.e.c.), in current US$ per capita"
hk_usd_pc,"Capital health expenditure, in current US$ per capita"
hk1_usd_pc,"Gross capital formation, in current US$ per capita"
hk11_usd_pc,"Gross fixed capital formation, in current US$ per capita"
hk111_usd_pc,"Infrastructure, in current US$ per capita"
hk112_usd_pc,"Machinery and equipment, in current US$ per capita"
hk113_usd_pc,"Intellectual property products, in current US$ per capita"
hk_gghed_usd_pc,"Capital Health Expenditure (Domestic Public), in current US$ per capita"
hk_ext_usd_pc,"Capital Health Expenditure (External), in current US$ per capita"
hk_pvtd_usd_pc,"Capital Health Expenditure (Domestic Private), in current US$ per capita"
pfc_usd_pc,"Final consumption expenditure of Households and profit institutions serving households (PFC), in current US$ per capita"
gge_usd_pc,"General government expenditure (GGE), in current US$ per capita"
che_ppp_pc,"Current Health Expenditure (CHE), in current international $ (PPP) per capita"
gghed_ppp_pc,"Domestic General Government Health Expenditure (GGHE-D), in current international $ (PPP) per capita"
pvtd_ppp_pc,"Domestic Private Health Expenditure (PVT-D), in current international $ (PPP) per capita"
ext_ppp_pc,"External Health Expenditure (EXT), in current international $ (PPP) per capita"
fs_ppp_pc,"Current health expenditure by revenues of health care financing schemes, in current international $ (PPP) per capita"
fs1_ppp_pc,"Transfers from government domestic revenue (allocated to health purposes), in current international $ (PPP) per capita"
fs11_ppp_pc,"Internal transfers and grants, in current international $ (PPP) per capita"
fs12_ppp_pc,"Transfers by government on behalf of specific groups, in current international $ (PPP) per capita"
fs13_ppp_pc,"Subsidies, in current international $ (PPP) per capita"
fs14_ppp_pc,"Other transfers from government domestic revenue, in current international $ (PPP) per capita"
fs2_ppp_pc,"Transfers distributed by government from foreign origin, in current international $ (PPP) per capita"
fs3_ppp_pc,"Social insurance contributions, in current international $ (PPP) per capita"
fs31_ppp_pc,"Social insurance contributions from employees, in current international $ (PPP) per capita"
fs32_ppp_pc,"Social insurance contributions from employers, in current international $ (PPP) per capita"
fs33_ppp_pc,"Social insurance contributions from self-employed, in current international $ (PPP) per capita"
fs34_ppp_pc,"Other social insurance contributions, in current international $ (PPP) per capita"
fs4_ppp_pc,"Compulsory prepayment (Other, and unspecified, than FS.3), in current international $ (PPP) per capita"
fs5_ppp_pc,"Voluntary prepayment, in current international $ (PPP) per capita"
fs6_ppp_pc,"Other domestic revenues n.e.c., in current international $ (PPP) per capita"
fs61_ppp_pc,"Other revenues from households n.e.c., in current international $ (PPP) per capita"
fs62_ppp_pc,"Other revenues from corporations n.e.c., in current international $ (PPP) per capita"
fs63_ppp_pc,"Other revenues from NPISH n.e.c., in current international $ (PPP) per capita"
fs6nec_ppp_pc,"Unspecified other domestic revenues (n.e.c.), in current international $ (PPP) per capita"
fs7_ppp_pc,"Direct foreign transfers, in current international $ (PPP) per capita"
fsnec_ppp_pc,"Unspecified revenues of health care financing schemes (n.e.c.), in current international $ (PPP) per capita"
hf_ppp_pc,"Current health expenditure by financing schemes, in current international $ (PPP) per capita"
hf1_ppp_pc,"Government schemes and compulsory contributory health care financing schemes, in current international $ (PPP) per capita"
hf11_ppp_pc,"Government schemes, in current international $ (PPP) per capita"
hf12_ppp_pc,"Compulsory contributory health insurance schemes, in current international $ (PPP) per capita"
hf121_ppp_pc,"Social health insurance schemes, in current international $ (PPP) per capita"
hf122_ppp_pc,"Compulsory private insurance schemes, in current international $ (PPP) per capita"
hf12nec_ppp_pc,"Unspecified compulsory contributory health insurance schemes (n.e.c.), in current international $ (PPP) per capita"
hf13_ppp_pc,"Compulsory Medical Saving Accounts (CMSA), in current international $ (PPP) per capita"
hf1nec_ppp_pc,"Unspecified government schemes and compulsory contributory schemes (n.e.c.), in current international $ (PPP) per capita"
hf2_ppp_pc,"Voluntary health care payment schemes, in current international $ (PPP) per capita"
hf21_ppp_pc,"Voluntary health insurance schemes, in current international $ (PPP) per capita"
hf22_ppp_pc,"NPISH financing schemes (including development agencies), in current international $ (PPP) per capita"
hf23_ppp_pc,"Enterprise financing schemes, in current international $ (PPP) per capita"
hf2nec_ppp_pc,"Unspecified voluntary health care payment schemes (n.e.c.), in current international $ (PPP) per capita"
hf3_ppp_pc,"Household out-of-pocket payments (OOPS), in current international $ (PPP) per capita"
hf4_ppp_pc,"Rest of the world financing schemes (non-resident), in current international $ (PPP) per capita"
hfnec_ppp_pc,"Unspecified financing schemes (n.e.c.), in current international $ (PPP) per capita"
hc_ppp_pc,"Current health expenditure by Health Care Functions, in current international $ (PPP) per capita"
hc1_ppp_pc,"Curative care, in current international $ (PPP) per capita"
hc11_ppp_pc,"Inpatient curative care, in current international $ (PPP) per capita"
hc12_ppp_pc,"Day curative care, in current international $ (PPP) per capita"
hc13_ppp_pc,"Outpatient curative care, in current international $ (PPP) per capita"
hc131_ppp_pc,"General outpatient curative care, in current international $ (PPP) per capita"
hc132_ppp_pc,"Dental outpatient curative care, in current international $ (PPP) per capita"
hc133_ppp_pc,"Specialised outpatient curative care, in current international $ (PPP) per capita"
hc139_ppp_pc,"Other outpatient curative care (specialized paramedical outpatient curative care), in current international $ (PPP) per capita"
hc13nec_ppp_pc,"Unspecified outpatient curative care (n.e.c.), in current international $ (PPP) per capita"
hc14_ppp_pc,"Home-based curative care, in current international $ (PPP) per capita"
hc1nec_ppp_pc,"Unspecified curative care (n.e.c.), in current international $ (PPP) per capita"
hc2_ppp_pc,"Rehabilitative care, in current international $ (PPP) per capita"
hc21_ppp_pc,"Inpatient rehabilitative care, in current international $ (PPP) per capita"
hc22_ppp_pc,"Day rehabilitative care, in current international $ (PPP) per capita"
hc23_ppp_pc,"Outpatient rehabilitative care, in current international $ (PPP) per capita"
hc24_ppp_pc,"Home-based rehabilitative care, in current international $ (PPP) per capita"
hc2nec_ppp_pc,"Unspecified rehabilitative care (n.e.c.), in current international $ (PPP) per capita"
hc3_ppp_pc,"Long-term care (health), in current international $ (PPP) per capita"
hc31_ppp_pc,"Inpatient long-term care (health), in current international $ (PPP) per capita"
hc32_ppp_pc,"Day long-term care (health), in current international $ (PPP) per capita"
hc33_ppp_pc,"Outpatient long-term care (health), in current international $ (PPP) per capita"
hc34_ppp_pc,"Home-based long-term care (health), in current international $ (PPP) per capita"
hc3nec_ppp_pc,"Unspecified long-term care (n.e.c.), in current international $ (PPP) per capita"
hc4_ppp_pc,"Ancillary services (non-specified by function), in current international $ (PPP) per capita"
hc41_ppp_pc,"Laboratory services, in current international $ (PPP) per capita"
hc42_ppp_pc,"Imaging services, in current international $ (PPP) per capita"
hc43_ppp_pc,"Patient transportation, in current international $ (PPP) per capita"
hc4nec_ppp_pc,"Unspecified ancillary services (n.e.c.), in current international $ (PPP) per capita"
hc5_ppp_pc,"Medical goods (non-specified by function), in current international $ (PPP) per capita"
hc51_ppp_pc,"Pharmaceuticals and Other medical durable goods, in current international $ (PPP) per capita"
hc511_ppp_pc,"Prescribed medicines, in current international $ (PPP) per capita"
hc512_ppp_pc,"Over-the-counter medicines, in current international $ (PPP) per capita"
hc513_ppp_pc,"Other medical non-durable goods, in current international $ (PPP) per capita"
hc52_ppp_pc,"Therapeutic appliances and Other medical goods, in current international $ (PPP) per capita"
hc5nec_ppp_pc,"Unspecified medical goods (n.e.c.), in current international $ (PPP) per capita"
hc6_ppp_pc,"Preventive care, in current international $ (PPP) per capita"
hc61_ppp_pc,"Information, education and counseling (IEC) programmes, in current international $ (PPP) per capita"
hc62_ppp_pc,"Immunization Programmes, in current international $ (PPP) per capita"
fp3214_ppp_pc,"Vaccines, in current international $ (PPP) per capita"
hc63_ppp_pc,"Early disease detection programmes, in current international $ (PPP) per capita"
hc64_ppp_pc,"Healthy condition monitoring programmes, in current international $ (PPP) per capita"
hc65_ppp_pc,"Epidemiological surveillance and risk and disease control programmes, in current international $ (PPP) per capita"
hc66_ppp_pc,"Preparing for disaster and emergency response programmes, in current international $ (PPP) per capita"
hc6nec_ppp_pc,"Unspecified preventive care (n.e.c.), in current international $ (PPP) per capita"
hc7_ppp_pc,"Governance, and health system and financing administration, in current international $ (PPP) per capita"
hc71_ppp_pc,"Governance and Health system administration, in current international $ (PPP) per capita"
hc72_ppp_pc,"Administration of health financing, in current international $ (PPP) per capita"
hc7nec_ppp_pc,"Unspecified governance, and health system and financing administration (n.e.c.), in current international $ (PPP) per capita"
hc9_ppp_pc,"Other health care services not elsewhere classified (n.e.c.), in current international $ (PPP) per capita"
hc_gghed_ppp_pc,"Domestic general government health expenditure by Health Care Functions, in current international $ (PPP) per capita"
hc1_gghed_ppp_pc,"Domestic General Government Expenditure on Curative care, in current international $ (PPP) per capita"
hc11_gghed_ppp_pc,"Domestic General Government Expenditure on Inpatient curative care, in current international $ (PPP) per capita"
hc12_gghed_ppp_pc,"Domestic General Government Expenditure on Day curative care, in current international $ (PPP) per capita"
hc13_gghed_ppp_pc,"Domestic General Government Expenditure on Outpatient curative care, in current international $ (PPP) per capita"
hc131_gghed_ppp_pc,"Domestic General Government Expenditure on General outpatient curative care, in current international $ (PPP) per capita"
hc132_gghed_ppp_pc,"Domestic General Government Expenditure on Dental outpatient curative care, in current international $ (PPP) per capita"
hc133_gghed_ppp_pc,"Domestic General Government Expenditure on Specialised outpatient curative care, in current international $ (PPP) per capita"
hc139_gghed_ppp_pc,"Domestic General Government Expenditure on other outpatient curative care (specialized paramedical outpatient curative care), in current international $ (PPP) per capita"
hc13nec_gghed_ppp_pc,"Domestic General Government Expenditure on Outpatient curative care n.e.c., in current international $ (PPP) per capita"
hc14_gghed_ppp_pc,"Domestic General Government on Home-based curative care, in current international $ (PPP) per capita"
hc1nec_gghed_ppp_pc,"Domestic General Government Expenditure on Other curative care, in current international $ (PPP) per capita"
hc2_gghed_ppp_pc,"Domestic General Government Expenditure on Rehabilitative care, in current international $ (PPP) per capita"
hc21_gghed_ppp_pc,"Domestic General Government Expenditure on Inpatient rehabilitative care, in current international $ (PPP) per capita"
hc22_gghed_ppp_pc,"Domestic General Government Expenditure on Day rehabilitative care, in current international $ (PPP) per capita"
hc23_gghed_ppp_pc,"Domestic General Government Expenditure on Outpatient rehabilitative care, in current international $ (PPP) per capita"
hc24_gghed_ppp_pc,"Domestic General Government Expenditure on Home-based rehabilitative care, in current international $ (PPP) per capita"
hc3_gghed_ppp_pc,"Domestic General Government Expenditure on Long-term care (health), in current international $ (PPP) per capita"
hc31_gghed_ppp_pc,"Domestic General Government Expenditure on Inpatient long-term care (health), in current international $ (PPP) per capita"
hc32_gghed_ppp_pc,"Domestic General Government Expenditure on Day long-term care (health), in current international $ (PPP) per capita"
hc33_gghed_ppp_pc,"Domestic General Government Expenditure on Outpatient long-term care (health), in current international $ (PPP) per capita"
